"CropID","Crop","Crop_Year","Season","State","Production","Yield","Area","Annual_Rainfall","Fertilizer","Pesticide","PARTIND"
"         101","Arecanut","        1997","Whole Year","Assam","       56708"," 0.796086957","-0.144798605","0.7511783823","-0.179875227","-0.121741926","           0"
"         201","Arhar/Tur","        1997","Kharif","Assam","        4685"," 0.710434783","-0.236466689","0.7511783823"," -0.24721071","-0.219379547","           0"
"         301","Castor seed","        1997","Kharif","Assam","          22"," 0.238333333","-0.244437174","0.7511783823"," -0.25306549"," -0.22786908","           1"
"         401","Coconut","        1997","Whole Year","Assam","   126905000"," 5238.051739","-0.218701281","0.7511783823","-0.234160996","-0.200457235","           1"
"         501","Cotton(lint)","        1997","Kharif","Assam","         794"," 0.420909091","-0.243150379","0.7511783823","-0.252120265","-0.226498488","           1"
"         601","Dry chillies","        1997","Whole Year","Assam","        9073"," 0.643636364","-0.226982889","0.7511783823","-0.240244313","-0.209278152","           1"
"         701","Gram","        1997","Rabi","Assam","        1507"," 0.465454545","-0.241458306","0.7511783823"," -0.25087734","-0.224696225","           0"
"         801","Jute","        1997","Kharif","Assam","      904095"," 9.919565217","-0.116543707","0.7511783823","-0.159120377","-0.091647034","           1"
"         901","Linseed","        1997","Rabi","Assam","        5158"," 0.461363636","-0.231743893","0.7511783823","-0.243741545","-0.214349198","           0"
"        1001","Maize","        1997","Kharif","Assam","       14721"," 0.615652174","-0.219301694","0.7511783823","-0.234602034","-0.201096748","           0"
"        1101","Mesta","        1997","Kharif","Assam","       29003"," 4.568947368","-0.237451912","0.7511783823","-0.247934413"," -0.22042893","           1"
"        1201","Niger seed","        1997","Whole Year","Assam","        5076"," 0.482352941","-0.231994975","0.7511783823","-0.243925979"," -0.21461663","           0"
"        1301","Onion","        1997","Whole Year","Assam","       17943"," 2.342608696","-0.234836021","0.7511783823","-0.246012891","-0.217642689","           1"
"        1401","Other  Rabi pulses","        1997","Rabi","Assam","       58272"," 0.520869565","-0.097743951","0.7511783823","-0.145310875","-0.071623015","           1"
"        1501","Potato","        1997","Whole Year","Assam","      671871"," 7.561304348","-0.142826794","0.7511783823","-0.178426818","-0.119641708","           1"
"        1601","Rapeseed &Mustard","        1997","Rabi","Assam","      154772"," 0.554782609","0.1355916232","0.7511783823","0.0260875347","0.1769076588","           1"
"        1701","Rice","        1997","Autumn","Assam","      398311"," 0.780869565","0.5832624238","0.7511783823","0.3549275043","0.6537313321","           1"
"        1801","Rice","        1997","Summer","Assam","      209623"," 1.060434783","-0.006758156","0.7511783823","-0.078476571","0.0252878874","           1"
"        1901","Rice","        1997","Winter","Assam","     1647296"," 0.941304348","2.1333696144","0.7511783823","1.4935704554"," 2.304783408","           1"
"        2001","Sesamum","        1997","Whole Year","Assam","        8257"," 0.487391304","-0.224010844","0.7511783823","-0.238061175","-0.206112563","           1"
"        2101","Small millets","        1997","Kharif","Assam","        5391","       0.473"," -0.23120898","0.7511783823"," -0.24334862"," -0.21377945","           1"
"        2201","Sugarcane","        1997","Kharif","Assam","     1287451"," 41.89695652","-0.202787603","0.7511783823","-0.222471483","-0.183507238","           1"
"        2301","Sweet potato","        1997","Whole Year","Assam","       32618"," 3.440434783","-0.232723658","0.7511783823","-0.244461239","-0.215392766","           1"
"        2401","Tapioca","        1997","Whole Year","Assam","       11728","  4.41826087","-0.242159697","0.7511783823","-0.251392552","-0.225443292","           1"
"        2501","Tobacco","        1997","Whole Year","Assam","          26","        0.38","-0.244932515","0.7511783823","-0.253429346","-0.228396678","           1"
"        2601","Turmeric","        1997","Whole Year","Assam","        6974","        0.67","-0.231780737","0.7511783823","-0.243768608","-0.214388441","           1"
"        2701","Wheat","        1997","Rabi","Assam","      110054","  1.25952381","-0.129946567","0.7511783823","-0.168965549","-0.105922704","           1"
"        2801","Arecanut","        1997","Whole Year","Karnataka","      133342"," 1.293571429","-0.118481404","-0.209393033","-0.160543727","-0.093710916","           2"
"        2901","Arhar/Tur","        1997","Kharif","Karnataka","       98473"," 0.268235294","0.3300681833","-0.209393033","0.1689417616","0.3840487715","           1"
"        3001","Bajra","        1997","Kharif","Karnataka","      132056"," 0.404545455","0.1654171482","-0.209393033","0.0479960995","0.2086754587","           1"
"        3101","Bajra","        1997","Summer","Karnataka","         662","        0.81","-0.244404424","-0.209393033","-0.253041433","-0.227834198","           1"
"        3201","Black pepper","        1997","Kharif","Karnataka","         924","      0.4375","-0.240303875","-0.209393033","-0.250029344","-0.223466616","           1"
"        3301","Cardamom","        1997","Whole Year","Karnataka","        1214"," 0.058571429","-0.216553439","-0.209393033","-0.232583282","-0.198169523","           1"
"        3401","Coriander","        1997","Whole Year","Karnataka","        2853"," 0.121333333","-0.221893023","-0.209393033","-0.236505514","-0.203856827","           1"
"        3501","Dry chillies","        1997","Kharif","Karnataka","      139206"," 1.078333333","0.0090777421","-0.209393033","-0.066844193","0.0421550383","           1"
"        3601","Dry chillies","        1997","Rabi","Karnataka","        7895"," 1.869444444","-0.239294089","-0.209393033","-0.249287598","-0.222391072","           0"
"        3701","Garlic","        1997","Whole Year","Karnataka","        3799","       1.585","-0.238617259","-0.209393033","-0.248790428","-0.221670166","           1"
"        3801","Ginger","        1997","Kharif","Karnataka","        4745"," 1.262307692","-0.240584977","-0.209393033"," -0.25023583","-0.223766024","           1"
"        3901","Groundnut","        1997","Kharif","Karnataka","      525562"," 0.709411765","0.9111808144","-0.209393033","0.5958024361","1.0030041713","           0"
"        4001","Groundnut","        1997","Rabi","Karnataka","      181071"," 1.133333333","0.0170427688","-0.209393033","-0.060993422","0.0506387573","           1"
"        4101","Horse-gram","        1997","Kharif","Karnataka","       80124","        0.45","-0.001439041","-0.209393033","-0.074569375","0.0309533897","           1"
"        4201","Horse-gram","        1997","Rabi","Karnataka","       82572"," 0.514705882"," -0.02286151","-0.209393033","-0.090305412","0.0081358626","           1"
"        4301","Jowar","        1997","Kharif","Karnataka","      516093","       1.228","0.2862380207","-0.209393033","0.1367459844","0.3373643349","           0"
"        4401","Jowar","        1997","Rabi","Karnataka","      722773"," 0.510714286","1.8029390404","-0.209393033","1.2508501795","1.9528347889","           0"
"        4501","Jowar","        1997","Summer","Karnataka","       15135"," 2.470909091","-0.237148976","-0.209393033","-0.247711889","-0.220106267","           1"
"        4601","Maize","        1997","Kharif","Karnataka","     1391132"," 2.687777778"," 0.440581053","-0.209393033","0.2501198252","0.5017583751","           0"
"        4701","Maize","        1997","Rabi","Karnataka","       98932","        1.98","-0.178872054","-0.209393033","-0.204904136","-0.158034279","           1"
"        4801","Maize","        1997","Summer","Karnataka","       20893"," 2.165714286","-0.232246057","-0.209393033","-0.244110413","-0.214884063","           1"
"        4901","Ragi","        1997","Kharif","Karnataka","     1214282"," 1.191333333","0.9797575522","-0.209393033","0.6461759971","1.0760467106","           0"
"        5001","Ragi","        1997","Rabi","Karnataka","       33696"," 1.312222222","-0.208537923","-0.209393033","-0.226695424","-0.189632027","           1"
"        5101","Ragi","        1997","Summer","Karnataka","       25035"," 1.847777778","-0.227072951","-0.209393033","-0.240310469","-0.209374079","           1"
"        5201","Rice","        1997","Kharif","Karnataka","     2340493","      2.2335","1.1620771099","-0.209393033"," 0.780100206","1.2702391419","           1"
"        5301","Rice","        1997","Rabi","Karnataka","      109350"," 2.073846154","-0.171987771","-0.209393033","-0.199847233","-0.150701683","           1"
"        5401","Rice","        1997","Summer","Karnataka","      762759"," 2.829444444","0.1202428788","-0.209393033","0.0148129986","0.1605593854","           0"
"        5501","Sugarcane","        1997","Whole Year","Karnataka","    28999269"," 91.74736842","0.1759352956","-0.209393033","0.0557222842","0.2198785607","           1"
"        5601","Turmeric","        1997","Whole Year","Karnataka","       24108"," 4.452941176","-0.239598389","-0.209393033","-0.249511124","-0.222715188","           2"
"        5701","Wheat","        1997","Rabi","Karnataka","      118512"," 0.548333333","0.0965729536","-0.209393033","-0.002573924","0.1353480455","           1"
"        5801","Arecanut","        1997","Whole Year","Kerala","       93995"," 1.147857143"," -0.14161778","2.2213533154","-0.177538727","-0.118353962","           1"
"        5901","Black pepper","        1997","Whole Year","Kerala","       55520"," 0.240714286","-0.008285116","2.2213533154","-0.079598211","  0.02366149","           2"
"        6001","Cashewnut","        1997","Whole Year","Kerala","       74142"," 0.589285714","-0.114424521","2.2213533154","-0.157563713","-0.089389844","           1"
"        6101","Coconut","        1997","Whole Year","Kerala","  5210000000"," 5376.054286","0.9612307117","2.2213533154","0.6325669664","1.0563133795","           1"
"        6201","Tapioca","        1997","Whole Year","Kerala","     2841819"," 22.80357143","-0.064205416","2.2213533154","-0.120674891"," -0.03590041","           1"
"        6301","Arecanut","        1997","Whole Year","Meghalaya","       12116"," 1.245714286","-0.232465753","2.9139636211","-0.244271793","-0.215118067","           1"
"        6401","Arhar/Tur","        1997","Kharif","Meghalaya","         683"," 0.806666667","-0.244343018","2.9139636211","-0.252996327","-0.227768793","           1"
"        6501","Banana","        1997","Whole Year","Meghalaya","       63011"," 11.20714286","-0.238374365","2.9139636211","-0.248612008","-0.221411454","           1"
"        6601","Castor seed","        1997","Rabi","Meghalaya","          15","        0.49","-0.245482438","2.9139636211","-0.253833297","-0.228982414","           1"
